ESAME;DESCRIZIONE;PROVETTA
L0202   ;ESAME COLTURALE TAMPONE CONGIUNTIVALE DX                                        ;T.OCULARE DX
L0203   ;TAMPONE CAVITA ORALE                                                            ;T.CAVO ORALE
L0204   ;ES.COLTURALE SU TAMPONE LINGUALE                                                ;T.LINGUALE
L0205   ;TAMPONE AURICOLARE DX                                                           ;T.AURIC.DX
L0206   ;TAMPONE AURICOLARE SX                                                           ;T.AURIC.SX
L0208   ;SPERMIOCOLTURA aerobi                                                           ;SPERMIOCOLTURA
L0209   ;TAMPONE GLANDE                                                                  ;T.GLANDE
L0210   ;Sg-PIOMBO                                                                       ;CE-T.VIOLA
L0211   ;U-PIOMBO inizio turno                                                           ;CE-Urine I.T.
L0212   ;U-CADMIO inizio turno                                                           ;CE-Urine I.T.
L0213   ;U-CROMO inizio turno                                                            ;CE-Urine I.T.
L0214   ;U-NICHEL inizio turno                                                           ;CE-Urine I.T.
L0215   ;Sg-NICHEL                                                                       ;CE-T.VIOLA (PLASMA)
L0216   ;U-CROMO fine turno                                                              ;CE-Urine F.T.
L0217   ;U-PIOMBO fine turno                                                             ;CE-Urine F.T.
L0218   ;U-CADMIO fine turno                                                             ;CE-Urine F.T.
L0219   ;U-MERCURIO inizio turno                                                         ;CE-Urine I.T.
L0220   ;Sg-CROMO                                                                        ;CE-T.VIOLA
L0221   ;Sg-CADMIO ematico                                                               ;CE-T.VIOLA I.T.
L0222   ;S-ZINCO                                                                         ;T.GIALLO 1
L0223   ;U-ZINCO inizio turno                                                            ;CE-Urine I.T.
L0224   ;U-NICHEL fine turno                                                             ;CE-Urine F.T.
L0225   ;U-STAGNO fine turno                                                             ;CE-Urine F.T.
L0226   ;U-MANGANESE inizio turno                                                        ;CE-Urine I.T.
L0227   ;S-MANGANESE                                                                     ;CE-T.BLU
L0228   ;U-ARSENICO inizio turno                                                         ;CE-Urine I.T.
L0229   ;U-ANTIMONIO inizio turno                                                        ;CE-Urine I.T.
L0230   ;U-ACIDO MANDELICO inizio turno                                                  ;URINE  IT
L0231   ;U-ACIDO IPPURICO inizio turno                                                   ;URINE  IT
L0232   ;U-AMMINE AROMATICHE inizio turno                                                ;CE-Urine I.T.
L0233   ;U-TIOCIANATI fine turno                                                         ;CE-Urine F.T.
L0234   ;U-ACIDO METILIPPURICO inizio turno                                              ;URINE  IT
L0235   ;U-ACIDO MANDELICO fine turno                                                    ;URINE FT
L0236   ;U-FENOLI inizio turno                                                           ;CE-Urine I.T.
L0237   ;U-TIOCIANATI inizio turno                                                       ;CE-Urine I.T.
L0238   ;U-ACIDO OSSALICO inizio turno                                                   ;CE-Urine I.T.
L0241   ;U-ACIDO TRICLOROACETICO(TCA)inizio turno                                        ;CE-Urine I.T.
L0242   ;U-TRICLOROETANOLO inizio turno                                                  ;CE-Urine I.T.
